CASEID	SETID	CHOICE15	Alternative	FSG	FSO	TT	CHOICE01				
1231	53	4	5	1.19	1.597	0	0				
1238	54	4	1	0.933	1.77	8.32	0				
1238	54	4	2	0.096	1.841	0	0				
1238	54	4	3	0.635	5.147	0	0				
1238	54	4	4	0.717	0.093	0	1				
1238	54	4	5	1.19	1.597	19.52	0				
1245	55	5	1	1.309	2.066	2.85	0				
1245	55	5	2	0.106	0.327	0	0				
1245	55	5	3	7.024	12.895	0	0				
1245	55	5	4	0.772	1.424	2.19	0				
1245	55	5	5	20.452	83.361	4.9	1				
1248	56	2	1	1.19	1.597	5.68	0				
1248	56	2	2	1.188	3.2	13.88	1				
1248	56	2	3	1.463	2.508	7.88	0				
1248	56	2	4	0.842	0.956	14.24	0				
1248	56	2	5	0.067	2.329	14.24	0				
1250	57	3	1	3.83	7.566	0	0				
1250	57	3	2	0.895	0	0	0				
1250	57	3	3	5.19	59.651	7.87	1				
1250	57	3	4	0.619	1.542	1.57	0				
1250	57	3	5	0.62	1.827	1.57	0				
1250	58	5	1	0.62	1.827	1.57	0				
1250	58	5	2	0.895	0	0	0				
1250	58	5	3	3.83	7.566	0	0				
1250	58	5	4	0.619	1.542	1.57	0				
1250	58	5	5	5.19	59.651	7.87	1				
1251	59	4	1	0.379	0.225	11.76	0				
1251	59	4	2	0.309	0.033	0	0				
1251	59	4	3	5.19	59.651	5.88	0				
1251	59	4	4	4.054	2.456	5.88	1				
1251	59	4	5	3.418	6.65	11.76	0				
1252	60	2	1	2.287	1.42	15	0				
1252	60	2	2	0.294	1.043	0	1				
1252	60	2	3	0.57	3.478	15	0				
1252	60	2	4	1.959	0.858	23.92	0				
1252	60	2	5	0.262	5.344	23.92	0				
1253	61	3	1	7.024	12.895	7.88	0				
1253	61	3	2	0.106	0.327	7.88	0				
1253	61	3	3	20.452	83.361	17.56	1				
1253	61	3	4	0.772	1.424	8.92	0				
1253	61	3	5	2.287	1.42	15	0				
1255	62	1	1	5.19	59.651	24.6	1				
1255	62	1	2	0.082	0	0	0				
1255	62	1	3	1.424	1.132	0	0				
1255	62	1	4	0.625	0.577	7	0				
1255	62	1	5	7.024	12.895	7.88	0				
1255	63	5	1	3.83	7.566	10.48	0				
1255	63	5	2	0.082	0	0	0				
1255	63	5	3	1.424	1.132	0	0				
1255	63	5	4	0.625	0.577	7	0				
1255	63	5	5	5.19	59.651	24.6	1				
1259	64	5	1	0.067	2.329	14.24	0				
1259	64	5	2	1.19	1.597	5.68	0				
1259	64	5	3	1.188	3.2	13.88	0				
1259	64	5	4	0.842	0.956	14.24	0				
1259	64	5	5	1.463	2.508	7.88	1				
1268	65	3	1	4.358	16.2	14.24	0				
1268	65	3	2	1.199	13.735	0	0				
1268	65	3	3	0.889	0.48	0	1				
1268	65	3	4	0.267	3.67	25.44	0				
1268	65	3	5	2.939	2.361	25.44	0				
1268	66	5	1	2.939	2.361	25.44	0				
1268	66	5	2	1.199	13.735	0	0				
1268	66	5	3	4.358	16.2	14.24	0				
1268	66	5	4	0.267	3.67	25.44	0				
1268	66	5	5	0.889	0.48	0	1				
1271	67	1	1	1.335	5.049	4.84	1				
1271	67	1	2	1.324	2.309	4.84	0				
1271	67	1	3	1.651	22.007	4.84	0				
1271	67	1	4	1.309	2.066	8.29	0				
1271	67	1	5	1.199	13.735	0	0				
1278	68	1	1	1.614	1.645	11.4	1				
1278	68	1	2	1.314	6.22	0	0				
1278	68	1	3	0.898	56.296	6	0				
1278	68	1	4	6.617	95.932	6	0				
1278	68	1	5	1.324	2.309	11	0				
1283	69	2	1	2.725	3.107	4.25	0				
1283	69	2	2	0.946	0.236	0	1				
1283	69	2	3	0.063	1.05	6.51	0				
1283	69	2	4	0	5.333	6.51	0				
1283	69	2	5	0.267	3.67	6.65	0				
1284	70	4	1	0.384	0.551	2.9	0				
1284	70	4	2	0.045	0.111	2.9	0				
1284	70	4	3	1.325	30.295	3.6	0				
1284	70	4	4	2.209	2.41	2.8	1				
1284	70	4	5	10.325	37.322	3.6	0				
1298	71	3	1	0.045	0.111	11.6	0				
1298	71	3	2	2.209	2.41	8	0				
1298	71	3	3	1.325	30.295	12	1				
1298	71	3	4	0.384	0.551	10	0				
1298	71	3	5	10.325	37.322	12	0				
1300	72	1	1	2.209	2.41	0	1				
1300	72	1	2	0.045	0.111	11.96	0				
1300	72	1	3	1.325	30.295	14.28	0				
1300	72	1	4	0.384	0.551	11.96	0				
1300	72	1	5	10.325	37.322	12	0				
1300	73	2	1	2.209	2.41	0	0				
1300	73	2	2	1.325	30.295	3.88	1				
1300	73	2	3	0.045	0.111	3.18	0				
1300	73	2	4	0.384	0.551	3.18	0				
1300	73	2	5	10.325	37.322	3.88	0				
1304	74	2	1	1.325	30.295	0	0				
1304	74	2	2	1.469	3.123	14.31	1				
1304	74	2	3	10.325	37.322	0	0				
1304	74	2	4	0.384	0.551	2.76	0				
1304	74	2	5	2.209	2.41	0	0				
1306	75	2	1	0.106	0.327	2.85	0				
