ID	FSG1	FSO1	TT1	FSG2	FSO2	TT2	FSG3	FSO3	TT3	FSG4	FSO4	TT4	FSG5	FSO5	TT5	CHOICE	
2202	1911	686	434	303	180	0	1850	1213	0	295	197	0	66	1777	434	1
2216	295	197	0	388	252	0	702	792	0	148	3677	836	1792	2677	1200	5
2248	1028	4333	220	578	105	0	2932	2181	191	148	3677	381	2121	41669	381	5
2248	6438	77335	381	578	105	0	2932	2181	191	148	3677	381	1556	434	391	5
2252	2932	2181	692	526	3918	972	3153	6816	1512	1730	15564	1512	1184	228	0	5
2252	526	3918	308	1184	228	0	3153	6816	521	1730	15564	521	1190	1597	741	3
2254	1028	4333	414	81	491	197	1491	690	197	1548	12008	414	526	3918	308	1
2254	1491	690	644	81	491	644	66	1777	3100	1028	4333	1372	1548	12008	1372	3
2255	889	480	0	4358	16200	476	1199	13735	0	267	3670	829	1491	690	197	2
2255	2939	2361	829	889	480	0	1199	13735	0	267	3670	829	4358	16200	476	5
2255	889	480	0	1199	13735	0	4358	16200	476	267	3670	829	2939	2361	829	1
2255	267	3670	829	1199	13735	0	4358	16200	476	889	480	0	2939	2361	829	4
2259	1028	4333	1976	2109	1759	0	2932	2181	876	1556	434	1896	1548	12008	1976	3
2261	1394	1528	355	468	728	0	3375	17328	316	96	1841	469	2109	1759	0	3
2262	1856	3751	611	686	368	0	724	2219	0	280	5127	611	863	7471	0	5
2265	2469	17977	292	598	429	118	2705	89841	317	20452	83361	317	552	3932	294	3
2265	598	429	396	2469	17977	972	401	4547	1056	2705	89841	1056	20452	83361	1056	2
2266	2473	1131	1004	3479	27106	644	4160	19515	644	1817	1498	1552	2705	89841	1056	3
2269	1309	2066	1124	2705	89841	0	20452	83361	0	2469	17977	556	401	4547	0	5
2272	4054	2456	588	309	33	0	5190	59651	588	379	225	1176	92	2307	0	1
2273	4409	19541	0	417	0	0	3400	17619	0	2701	4208	748	4054	2456	170	1
2277	350	1083	2336	66	0	0	3610	5189	0	6617	95932	1612	898	56296	1612	5
2280	1199	13735	392	91	401	314	4358	16200	354	889	480	392	2014	2229	958	4
